status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Here are the actors, pop stars, dancers and artists who broke away from the pack this year, delighting us and making us think.",https://www.nytimes.com/2022/12/16/arts/breakout-stars-2022-music-tv-movies.html,"Here are the actors, pop stars, dancers and artists who broke away from the pack this year, delighting us and making us think.","For many of us, 2022 was the year we emerged more fully from our pandemic cocoons, venturing out to movie theaters, museums, concerts — exploring our entertainment with eager, if weary, hearts and eyes before returning home to our TVs. Along the way, artists and performers across the world of the arts had, for the first time in years, the chance to connect more closely and fully with audiences, and deliver big. Here are seven stars who captured our attention in this moment and gave us a fresh perspective.",The New York Times,,,2022-12-16T10:00:25+0000,article,Culture,Arts,News,nyt://article/0003250d-5e03-5969-b0a6-aaa05a6f611b,1312,nyt://article/0003250d-5e03-5969-b0a6-aaa05a6f611b,C,5,NA,The Breakout Stars of 2022,NA,NA,They Required Your Attention This Year,NA,NA,NA,By Maya Salam,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The order is short on specifics, directing federal officials to consider how to help those traveling out of state for abortions.",https://www.nytimes.com/2022/08/03/us/politics/biden-abortion-executive-order.html,"The order is short on specifics, directing federal officials to consider how to help those traveling out of state for abortions.","WASHINGTON — Since even before the Supreme Court struck down Roe v. Wade, Democrats have pressured President Biden to take action to protect abortion rights.",The New York Times,,,2022-08-03T11:16:17+0000,article,Washington,U.S.,News,nyt://article/00033b63-cf5d-55a5-8201-509ee9901350,787,nyt://article/00033b63-cf5d-55a5-8201-509ee9901350,A,16,Politics,"Biden Issues Executive Order on Abortion Access, Calling for More Study",White House Memo,NA,"Ordering Abortion Study, Biden Projects Power Where He Can",NA,NA,NA,By Peter Baker,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"After years of expansion and billions in profits, Big Tech is pulling back from its famously lavish spending as a long boom finally ends.",https://www.nytimes.com/2023/02/02/technology/big-tech-earnings-austerity.html,"After years of expansion and billions in profits, Big Tech is pulling back from its famously lavish spending as a long boom finally ends.","For much of last year, tech companies stumbled. Digital ad sales plunged. E-commerce sputtered. IPhone production stalled. And investors lost faith.",The New York Times,,,2023-02-03T00:07:03+0000,article,Business,Technology,News,nyt://article/0004017d-b7ba-5d4d-b358-429138a8509f,1149,nyt://article/0004017d-b7ba-5d4d-b358-429138a8509f,B,1,NA,"Tech’s Biggest Companies Discover Austerity, to the Relief of Investors",NA,NA,"Tech Embraces Austerity, To the Delight of Investors",NA,NA,NA,"By Tripp Mickle, Karen Weise and Nico Grant",,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Is nothing else so important as to continue ensuring that thousands of unborn lives can be ended in utero every year?,https://www.nytimes.com/2022/12/14/opinion/abortion-america.html,Is nothing else so important as to continue ensuring that thousands of unborn lives can be ended in utero every year?,"‌At a Senate Banking Committee hearing shortly after the leak of the Supreme Court draft opinion overturning Roe v. Wade, Treasury Secretary Janet Yellen warned that curtailing the right to an abortion “would have very damaging effects on the economy.” Women denied abortions would lose educational opportunities and see their “odds of living in poverty” or their “need for public assistance” rise. And this would have follow-on consequences for their children, who would then “grow up in poverty and do worse themselves.”",The New York Times,,,2022-12-14T10:00:48+0000,article,OpEd,Opinion,Op-Ed,nyt://article/000405f6-2f9f-5b95-926a-9f818d0c9564,2166,nyt://article/000405f6-2f9f-5b95-926a-9f818d0c9564,NA,NA,NA,Does American Society Need Abortion?,Ross Douthat,NA,NA,NA,NA,NA,By Ross Douthat,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Readers discuss a column by Thomas L. Friedman saying U.S. Jews must “choose sides.” Also: A transition in food tastes; nude photos in Singapore.,https://www.nytimes.com/2023/03/10/opinion/letters/us-jews-israel.html,Readers discuss a column by Thomas L. Friedman saying U.S. Jews must “choose sides.” Also: A transition in food tastes; nude photos in Singapore.,To the Editor:,The New York Times,,,2023-03-10T16:49:53+0000,article,Letters,Opinion,Letter,nyt://article/0006842f-8a2f-5b21-abb9-c5fbad1a37c1,1037,nyt://article/0006842f-8a2f-5b21-abb9-c5fbad1a37c1,A,23,Letters,How American Jews Feel About Israel,letters,NA,How American Jews Feel About Israel,NA,NA,NA,NA,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The investigation is tied to an incident on an Alaska Airlines flight in early January. Boeing also told a Senate panel that it cannot find a record of the work done on the Alaska plane.,https://www.nytimes.com/2024/03/09/business/boeing-criminal-inquiry-alaska-airlines-flight.html,The investigation is tied to an incident on an Alaska Airlines flight in early January. Boeing also told a Senate panel that it cannot find a record of the work done on the Alaska plane.,"The Justice Department has begun a criminal investigation into Boeing after a panel on one of the company’s planes blew out on an Alaska Airlines flight in early January, a person familiar with the matter said.",The New York Times,,,2024-03-09T22:24:05+0000,article,Business,Business Day,News,nyt://article/00075cf0-5336-577a-9bf9-2c798165eabc,862,nyt://article/00075cf0-5336-577a-9bf9-2c798165eabc,A,20,NA,U.S. Is Said to Open Criminal Inquiry Into Boeing,NA,NA,Boeing’s Midair Blowout Is Under Criminal Inquiry,NA,NA,NA,"By Niraj Chokshi, Glenn Thrush and Mark Walker",,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The 32-year-old’s work in Zulu and English traverses styles and explores queer histories. This week he releases a new EP, “The Baddies of Isandlwana.”",https://www.nytimes.com/2023/11/07/arts/music/desire-marea-baddies-of-isandlwana.html,"The 32-year-old’s work in Zulu and English traverses styles and explores queer histories. This week he releases a new EP, “The Baddies of Isandlwana.”","On a crisp Thursday morning hours before Desire Marea’s performance at the Transform Festival in Leeds, England, earlier this month, the South African songwriter sat in Kirkstall Valley Nature Reserve, communing with his Zulu ancestors. It’s a practice he honed through his training as a sangoma, a traditional spiritual healer, and it is essential to his craft.",The New York Times,,,2023-11-07T10:01:05+0000,article,Culture,Arts,News,nyt://article/00080986-a8c6-5292-901b-3d0180e4866f,1222,nyt://article/00080986-a8c6-5292-901b-3d0180e4866f,C,1,Music,"Desire Marea’s Genre-Melting Music Stirs South Africa, and the World",NA,NA,Personal Growth Powers His Music,NA,NA,NA,By Lior Phillips,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Maneesh Goyal, a bar and restaurant owner, is now intrigued by the city’s parks and playgrounds and has an earlier bedtime.",https://www.nytimes.com/2023/04/23/nyregion/maneesh-goyal-sona-temple-bar.html,"Maneesh Goyal, a bar and restaurant owner, is now intrigued by the city’s parks and playgrounds and has an earlier bedtime.","“Your eyes work differently when you become a parent, and you start seeing things in your city that you never saw,” Maneesh Goyal, the Manhattan businessman and restaurateur, said of fatherhood. Last year, he and his husband adopted a baby boy, now 20 months old.",The New York Times,,,2023-04-23T07:00:16+0000,article,Metropolitan,New York,News,nyt://article/00080c33-1302-578e-8d9f-9deb6dd18447,772,nyt://article/00080c33-1302-578e-8d9f-9deb6dd18447,MB,2,NA,"How a Food, Drink and Lifestyle Expert Spends His Sundays",NA,NA,Lots of Family Time for a Restaurateur,NA,NA,NA,By Kaya Laterman,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Reversing itself, the Treasury Department said U.S. sanctions do not prohibit hearing from foreigners deemed to be terrorists or other offenders.",https://www.nytimes.com/2024/11/12/us/politics/foreign-speakers-sanctions-treasury.html,"Reversing itself, the Treasury Department said U.S. sanctions do not prohibit hearing from foreigners deemed to be terrorists or other offenders.",The Biden administration will allow Americans to hear from speakers who are subject to U.S. sanctions — including members of Hamas and Hezbollah — at overseas conferences sponsored by American organizations.,The New York Times,,,2024-11-12T17:39:38+0000,article,Washington,U.S.,News,nyt://article/0008268e-a402-505e-9ef5-46ee7aa23cfd,1090,nyt://article/0008268e-a402-505e-9ef5-46ee7aa23cfd,A,20,Politics,U.S. Allows Americans to Hold Foreign Conferences With Speakers Under Sanctions,NA,NA,American Groups Can Invite Speakers Under Sanction to Events Overseas,NA,NA,NA,By Charlie Savage,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"The super-splashy biopic presents the story of the King as told by a (fake) colonel, a narratively curious choice.",https://www.nytimes.com/2022/05/25/movies/cannes-2022-elvis-as-remixed-by-baz-luhrmann.html,"The super-splashy biopic presents the story of the King as told by a (fake) colonel, a narratively curious choice.",Follow our live coverage of the Cannes Film Festival’s final awards ceremony.,The New York Times,,,2022-05-26T00:25:57+0000,article,Culture,Movies,News,nyt://article/00088517-9f26-5326-96a1-643022c2aaf8,861,nyt://article/00088517-9f26-5326-96a1-643022c2aaf8,NA,NA,NA,"Cannes 2022: ‘Elvis,’ as Remixed by Baz Luhrmann",Critic’s Notebook,NA,NA,NA,NA,NA,By Manohla Dargis,,NA,150927,10,34
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Religion is not a real barrier to polio vaccination.,https://www.nytimes.com/2022/08/17/opinion/polio-vaccine-orthodox-jewish-religion.html,Religion is not a real barrier to polio vaccination.,"Polio has re-emerged in New York. The virus was identified in late July in an unvaccinated Rockland County man and has since been detected in wastewater samples in at least two counties. It’s too early to tell whether a limited outbreak — or worse, a full-blown epidemic — is brewing, but experts have been concerned about the virus spreading in communities with low vaccination rates. The man who tested positive is part of an Orthodox Jewish community in which vaccine hesitancy tends to run high. Only 60 percent of Rockland County 2-year-olds have been fully vaccinated against polio, compared with 80 percent in most of the rest of the state.",The New York Times,,,2022-08-17T09:00:08+0000,article,Editorial,Opinion,Op-Ed,nyt://article/0008ff22-f788-5329-b8a1-f87bfc1a8ad2,1307,nyt://article/0008ff22-f788-5329-b8a1-f87bfc1a8ad2,A,18,NA,How to Fight Polio With Cultural Sensitivity,Jeneen Interlandi,NA,"To Stop the Spread of Polio, Don’t Shame Religious Groups",NA,NA,NA,By Jeneen Interlandi,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"As the midterm primary season nears an end, candidates endorsed by former President Donald J. Trump have continued to rack up primary wins, but with a handful of prominent losses.",https://www.nytimes.com/2022/09/06/us/politics/as-primaries-wind-down-heres-a-look-at-the-performance-of-trumps-candidates.html,"As the midterm primary season nears an end, candidates endorsed by former President Donald J. Trump have continued to rack up primary wins, but with a handful of prominent losses.","As the midterm primary season nears an end, candidates endorsed by former President Donald J. Trump have continued to rack up primary wins, but with a handful of prominent losses.",The New York Times,,,2022-09-06T17:00:05+0000,article,Politics,U.S.,News,nyt://article/00090590-d42b-5ee1-8120-ae0841536251,1227,nyt://article/00090590-d42b-5ee1-8120-ae0841536251,NA,NA,Politics,"As Primaries Wind Down, Here’s a Look at the Performance of Trump’s Candidates",NA,NA,NA,NA,NA,NA,By Maggie Astor and Azi Paybarah,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Unable to compete against older buyers with cash offers, younger potential buyers feel like they are never going to own a house.",https://www.nytimes.com/2022/11/11/realestate/first-time-buyers-housing-market.html,"Unable to compete against older buyers with cash offers, younger potential buyers feel like they are never going to own a house.","In the summer of 2020, Alexandra Elmer and her husband, Matthew, began searching for their first home. They thought their wish list was realistic: four bedrooms, two bathrooms, a yard and central air-conditioning. ",The New York Times,,,2022-11-11T13:38:07+0000,article,RealEstate,Real Estate,News,nyt://article/000910a6-2eed-5a91-8795-e4719ee86e08,1893,nyt://article/000910a6-2eed-5a91-8795-e4719ee86e08,RE,1,NA,‘It’s Never Our Time’: First-Time Home Buyers Face a Brutal Market,NA,NA,Dreams Slip Away,NA,NA,NA,By Ronda Kaysen,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,New productions of “The Merchant of Venice” and “Black No More” aim to reflect our current racial politics. The results are uneven.,https://www.nytimes.com/2022/03/01/theater/merchant-of-venice-black-no-more.html,New productions of “The Merchant of Venice” and “Black No More” aim to reflect our current racial politics. The results are uneven.,"On a recent weekend, I eagerly set out to see two new productions that prominently center Blackness: the director Arin Arbus’s adaptation of Shakespeare’s “The Merchant of Venice” and “Black No More,” a new musical with a starry creative team that was inspired by a satirical 1931 novel about race in America.",The New York Times,,,2022-03-02T01:05:43+0000,article,Culture,Theater,News,nyt://article/00093005-4b4a-5df6-8ce5-df23d2c47d35,1435,nyt://article/00093005-4b4a-5df6-8ce5-df23d2c47d35,C,4,NA,The Past Pushes Back in 2 Shows With Contemporary Blackness in Mind,Critic’s Notebook,NA,The Past Knows How to Push Back,NA,NA,NA,By Maya Phillips,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"Sorry, Swifties. The Gen Z slang term — derived from “charisma” — went viral this year after the actor Tom Holland claimed to have none.",https://www.nytimes.com/2023/12/03/arts/rizz-oxford-word-year.html,"Sorry, Swifties. The Gen Z slang term — derived from “charisma” — went viral this year after the actor Tom Holland claimed to have none.","It’s official. Oxford University Press, the world’s second-oldest academic press and the publisher of the Oxford English Dictionary, has rizz.",The New York Times,,,2023-12-03T22:18:23+0000,article,Culture,Arts,News,nyt://article/000931e2-b545-5c8e-ac5e-2798f4bdaa12,833,nyt://article/000931e2-b545-5c8e-ac5e-2798f4bdaa12,C,5,NA,Oxford’s 2023 Word of the Year Is … ‘Rizz’,NA,NA,‘Rizz’ Has Worked Its Magic,NA,NA,NA,By Jennifer Schuessler,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,People around the world are exploring new ways to grow one of the world’s most important staple crops.,https://www.nytimes.com/2023/05/23/climate/rice.html,People around the world are exploring new ways to grow one of the world’s most important staple crops.,"Look inside my pantry any given week, and you’ll see rice paper for summer rolls, rice noodles for my slapdash version of pad Thai, a few packets of rice ramen, sake, rice wine vinegar, and rice cakes that the teenager likes to smear with peanut butter. There’s a bag of arborio for an occasional herby risotto, brown rice for rainy day khichdi, a basmati from Bryce Lundberg’s farm in Northern California, and a red rice that Anna McClung, a plant breeder, developed from a variety considered a weed. ",The New York Times,,,2023-05-23T16:50:12+0000,article,Climate,Climate,News,nyt://article/000955dd-439b-5b66-9326-803a67b65a5b,1221,nyt://article/000955dd-439b-5b66-9326-803a67b65a5b,NA,NA,NA,"Reimagining Rice, From the Mekong to the Mississippi",NA,NA,NA,NA,NA,NA,By Somini Sengupta,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,The global community must draw bright lines for combatants in future conflicts by creating specific protections for power grids.,https://www.nytimes.com/2024/04/15/opinion/ukraine-russia-power-grid.html,The global community must draw bright lines for combatants in future conflicts by creating specific protections for power grids.,"In late March, after two years of withering attacks on Ukraine, Russia knocked out half of Ukraine’s power supply. Up to that point, Russia’s missiles and kamikaze drones had mostly targeted the Ukrainian substations that push electricity from power plants to consumers. But this time they hit the plants themselves, severely damaging and destroying hydroelectric and fossil fuel stations — all of which are difficult to repair or replace.",The New York Times,,,2024-04-15T09:04:02+0000,article,OpEd,Opinion,Op-Ed,nyt://article/0009864e-78cb-5cf6-a798-52a1ccd7fdae,1104,nyt://article/0009864e-78cb-5cf6-a798-52a1ccd7fdae,A,20,NA,There Is a Part of Modern Life That Is So Essential Armies Should Never Attack It Again,Guest Essay,NA,Armies Should Be Prosecuted for Targeting Power Grids,NA,NA,NA,By Peter Fairley,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Genealogical research helped lead police to the baby’s identity nearly three decades later.,https://www.nytimes.com/2022/04/05/us/geauga-child-verdict-ohio.html,Genealogical research helped lead police to the baby’s identity nearly three decades later.,"An Ohio woman was convicted on Monday of murder in the 1993 death of her newborn baby, whom the authorities said she put in a garbage bag and dumped in the state’s northern woods.",The New York Times,,,2022-04-05T09:55:10+0000,article,Express,U.S.,News,nyt://article/000a3090-ef6a-5e98-8b00-2baaccdb1035,911,nyt://article/000a3090-ef6a-5e98-8b00-2baaccdb1035,NA,NA,NA,Ohio Woman Convicted of Murder in 1993 Death of Newborn,NA,NA,NA,NA,NA,NA,By Eduardo Medina,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,Ukraine’s president made the remarks as he accepted the union’s top human rights award on behalf of his people.,https://www.nytimes.com/2022/12/14/world/europe/zelensky-russia-war-tribunal.html,Ukraine’s president made the remarks as he accepted the union’s top human rights award on behalf of his people.,"President Volodymyr Zelensky called on European leaders to immediately set up a special tribunal to hold Russia accountable for its war in Ukraine, describing it as a “historical responsibility” as he accepted the European Union’s top human rights award on behalf of the Ukrainian people on Wednesday.",The New York Times,,,2022-12-14T19:54:10+0000,article,Foreign,World,News,nyt://article/000a7a01-3dba-5d1a-8ee4-c8a0d5d93ef9,396,nyt://article/000a7a01-3dba-5d1a-8ee4-c8a0d5d93ef9,NA,NA,Europe,Zelensky urges the E.U. to create a war tribunal as he accepts the Sakharov Prize.,NA,NA,NA,NA,NA,NA,By Anushka Patil,,NA,150927,20,32
OK,Copyright (c) 2024 The New York Times Company. All Rights Reserved.,"With her dominant strokes and smart moves off the court, Williams helped redefine how to be a superstar athlete.",https://www.nytimes.com/2022/08/09/sports/tennis/serena-williams-retirement-legacy.html,"With her dominant strokes and smart moves off the court, Williams helped redefine how to be a superstar athlete.",Serena Williams’s fellow tennis professionals already know what their sport is like without her.,The New York Times,,,2022-08-09T22:35:39+0000,article,Sports,Sports,News,nyt://article/000a8bdf-be43-54e8-ab22-148a9937f007,1293,nyt://article/000a8bdf-be43-54e8-ab22-148a9937f007,B,8,Tennis,Serena Williams Forced Her Way Into the Tennis History Books,On Tennis,NA,"Whatever She Did, She Did It Her Way",NA,NA,NA,By Christopher Clarey,,NA,150927,20,32
